inspection_ym,borough,avg_prcp,avg_snow,avg_snwd,avg_tmin,avg_tmax,avg_temp,covid_yn,boro_code,inspection_month_n,borough_monthly_cases,inspection_month
2014-2,Bronx,0.9245511669658887,0.7782764811490126,231.01436265709157,-5.3228007181328545,1.8563734290843807,-1.7332136445242368,0,2,2,2228,Feb
2014-2,Brooklyn,0.9171919770773639,0.6017191977077364,214.64183381088824,-4.41404011461318,3.4575931232091692,-0.4782234957020055,0,1,2,349,Feb
2014-2,Manhattan,0.4335246842709529,0.3559127439724455,195.097588978186,-5.2701492537313435,2.46337543053961,-1.4033869115958668,0,1,2,871,Feb
2014-2,Queens,0.7168421052631578,0.9236842105263158,215.6578947368421,-5.689210526315789,1.4713157894736844,-2.1089473684210525,0,4,2,380,Feb
2014-2,Staten Island,0.6704545454545454,3.159090909090909,190.9090909090909,-4.502272727272727,3.184090909090909,-0.659090909090909,0,5,2,44,Feb
2014-3,Bronx,2.002391600233327,0.10266381489403072,23.10519152245771,-2.3236048998638927,6.564300991639121,2.1203480458876145,0,2,3,5143,Mar
2014-3,Brooklyn,2.3589483119211234,0.06453540484015537,14.191813564386017,-1.9796534209740067,7.422826411711981,2.721586495368987,0,1,3,3347,Mar
2014-3,Manhattan,1.8081864356139827,0.035853002688975205,27.938452345383926,-2.7508515088138634,6.183388108754108,1.7162682999701222,0,1,3,3347,Mar
2014-3,Queens,2.030199613650998,0.09079201545396008,30.424983902124918,-2.3973599484868,6.799549259497746,2.201094655505473,0,4,3,1553,Mar
2014-3,Staten Island,2.409879518072289,0.05060240963855422,14.506024096385541,-2.516385542168675,6.871084337349398,2.1773493975903615,0,5,3,415,Mar
2014-4,Bronx,5.871744,0,0,5.97536,15.620144,10.797752,0,2,4,6250,Apr
2014-4,Brooklyn,5.628818200969033,0,0,5.963829787234043,15.399936802190856,10.68188329471245,0,1,4,4747,Apr
2014-4,Manhattan,4.502825,0,0,6.422025,16.16575,11.2938875,0,1,4,4000,Apr
2014-4,Queens,8.067994939911449,0,0,6.017836812144212,15.551170145477546,10.78450347881088,0,4,4,1581,Apr
2014-4,Staten Island,2.6060115606936414,0,0,5.816416184971098,15.118034682080925,10.46722543352601,0,5,4,865,Apr
2014-5,Bronx,3.867389200696729,0,0,12.729185213857171,21.963479775498357,17.346332494677764,0,2,5,5167,May
2014-5,Brooklyn,4.634913793103449,0,0,13.009946949602123,22.075928381962864,17.542937665782492,0,1,5,3016,May
2014-5,Manhattan,5.482020268061458,0,0,12.926054266100033,21.813893429225235,17.369973847662635,0,1,5,3059,May
2014-5,Queens,4.912958435207824,0,0,12.949144254278728,21.836267318663406,17.39270578647107,0,4,5,1227,May
2014-5,Staten Island,3.99699863574352,0,0,12.559481582537517,22.135470668485677,17.347476125511598,0,5,5,733,May
2014-6,Bronx,4.049111549851925,0,0,18.35533070088845,26.86391905231984,22.609624876604144,0,2,6,2026,Jun
2014-6,Brooklyn,3.5852061170212766,0,0,18.674135638297873,26.913198138297872,22.79366688829787,0,1,6,3008,Jun
2014-6,Manhattan,4.701514280237684,0,0,18.637109449875407,26.782672033735864,22.709890741805637,0,1,6,5217,Jun
2014-6,Queens,4.899009900990099,0,0,18.82450495049505,26.998700495049505,22.91160272277228,0,4,6,1616,Jun
2014-6,Staten Island,2.862127659574468,0,0,19.156170212765957,27.321702127659574,23.238936170212767,0,5,6,235,Jun
2014-7,Bronx,3.59746233148295,0,0,20.74232751784298,29.028469468675656,24.885398493259316,0,2,7,5044,Jul
2014-7,Brooklyn,6.5077000334784065,0,0,20.91479745564111,29.49782390358219,25.20631067961165,0,1,7,2987,Jul
2014-7,Manhattan,6.179453681710214,0,0,20.43733174980206,29.01128266033254,24.724307205067298,0,1,7,2526,Jul
2014-7,Queens,7.382822085889571,0,0,20.82415644171779,29.545628834355828,25.184892638036807,0,4,7,1304,Jul
2014-7,Staten Island,7.885129310344828,0,0,20.712931034482757,29.505172413793105,25.10905172413793,0,5,7,464,Jul
2014-8,Bronx,1.5084531439459554,0,0,19.40756972111554,28.185640048501647,23.796604884808595,0,2,8,5773,Aug
2014-8,Brooklyn,1.444403892944039,0,0,19.418613138686133,28.415896188158964,23.917254663422547,0,1,8,2466,Aug
2014-8,Manhattan,1.5207112281857096,0,0,19.04981890023049,28.521205136648007,23.78551201843925,0,1,8,3037,Aug
2014-8,Queens,1.5040745052386495,0,0,19.255762514551805,28.19289871944121,23.724330616996507,0,4,8,859,Aug
2014-8,Staten Island,1.271628910463862,0,0,18.39039913700108,27.75275080906149,23.071574973031282,0,5,8,927,Aug
2014-9,Bronx,0.475430277485072,0,0,17.399789251844048,25.262978573937477,21.331383912890765,0,2,9,5694,Sep
2014-9,Brooklyn,0.7017155756207675,0,0,17.07119638826185,25.011241534988713,21.041218961625283,0,1,9,2215,Sep
2014-9,Manhattan,0.482773631840796,0,0,18.128731343283583,26.459141791044775,22.29393656716418,0,1,9,1608,Sep
2014-9,Queens,0.5802378774016469,0,0,16.44931381518756,24.597255260750227,20.52328453796889,0,4,9,1093,Sep
2014-9,Staten Island,0.8676775147928995,0,0,17.0478550295858,24.96619822485207,21.007026627218934,0,5,9,1352,Sep
2015-1,Bronx,1.8405052512063582,13.72353108146466,25.092250922509226,-4.897104740278172,2.179222253760999,-1.3589412432585863,0,2,1,3523,Jan
2015-1,Brooklyn,0.9303785780240074,3.7054478301015696,4.339796860572484,-4.67072945521699,2.774330563250231,-0.9481994459833796,0,1,1,1083,Jan
2015-1,Manhattan,1.2978428351309708,10.964560862865948,10.12326656394453,-4.275693374422188,3.419260400616333,-0.42821648690292746,0,1,1,2596,Jan
2015-1,Queens,0.9769386378961564,2.1105866486850977,2.609575185434929,-4.4563047875927175,2.145650708024275,-1.1553270397842212,0,4,1,1483,Jan
2015-1,Staten Island,1.3641666666666665,5.783333333333333,2.5,-3.1075,2.37,-0.3687499999999999,0,5,1,120,Jan
2015-10,Bronx,3.260575205430511,0,0,11.4,19.450250089317613,15.425125044658806,0,2,10,5598,Oct
2015-10,Brooklyn,3.2776886035313004,0,0,11.355484216158374,19.743124665596575,15.549304440877474,0,1,10,1869,Oct
2015-10,Manhattan,3.7636334301387544,0,0,10.750145208131656,18.846369796708615,14.798257502420135,0,1,10,3099,Oct
2015-10,Queens,3.594131455399061,0,0,11.035093896713615,19.394483568075117,15.214788732394366,0,4,10,852,Oct
2015-10,Staten Island,5.430373831775701,0,0,10.497196261682243,18.27429906542056,14.385747663551403,0,5,10,214,Oct
2015-11,Bronx,2.9329840438199573,0,0,8.548606811145511,15.325077399380806,11.936842105263159,0,2,11,4199,Nov
2015-11,Brooklyn,2.1617886178861787,0,0,8.425338753387534,15.291260162601626,11.85829945799458,0,1,11,1476,Nov
2015-11,Manhattan,1.6081719597211463,0,0,8.776026336173508,15.71862896979086,12.247327652982184,0,1,11,2582,Nov
2015-11,Queens,3.0532679738562094,0,0,8.009041394335512,14.691503267973857,11.350272331154684,0,4,11,918,Nov
