result,borough,inspection_month,inspection_year,inspection_daytime,covid_yn,prcp,snow,snwd,tmin,tmax,inspection_result,avg_temp,feeling,prcp_yn,snow_yn,snwd_yn
Passed,Bronx,Apr,2021,Afternoon,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Rat Activity,Bronx,Apr,2021,Morning,1,0,0,0,2.2,8.9,1,5.550000000000001,Cold,0,0,0
Passed,Staten Island,Apr,2021,Morning,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,0,0,0,2.2,8.9,1,5.550000000000001,Cold,0,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Passed,Queens,Apr,2021,Morning,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Passed,Queens,Apr,2021,Night,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Rat Activity,Staten Island,Apr,2021,Morning,1,0,0,0,2.2,8.9,1,5.550000000000001,Cold,0,0,0
Passed,Queens,Apr,2021,Afternoon,1,0,0,0,2.2,8.9,0,5.550000000000001,Cold,0,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,0,0,0,3.9,17.8,1,10.85,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Morning,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Passed,Queens,Apr,2021,Afternoon,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,0,0,0,3.9,17.8,1,10.85,Cool,0,0,0
Rat Activity,Queens,Apr,2021,Morning,1,0,0,0,3.9,17.8,1,10.85,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,0,0,0,3.9,17.8,1,10.85,Cool,0,0,0
Passed,Bronx,Apr,2021,Afternoon,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Morning,1,0,0,0,3.9,17.8,1,10.85,Cool,0,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,0,0,0,3.9,17.8,1,10.85,Cool,0,0,0
Passed,Queens,Apr,2021,Morning,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Night,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Passed,Staten Island,Apr,2021,Morning,1,0,0,0,3.9,17.8,0,10.85,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,0,0,0,3.9,17.8,1,10.85,Cool,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,11.1,22.2,0,16.65,Cool,0,0,0
