"","inspection_ym","borough","avg_prcp","avg_snow","avg_snwd","avg_tmin","avg_tmax"
"141","2014-2","Bronx",0.924551166965888,0.778276481149008,231.014362657091,-5.32280071813283,1.85637342908438
"142","2014-2","Brooklyn",0.917191977077361,0.601719197707736,214.641833810888,-4.41404011461318,3.45759312320917
"143","2014-2","Manhattan",0.433524684270951,0.355912743972447,195.097588978186,-5.27014925373136,2.46337543053961
"144","2014-2","Queens",0.71684210526316,0.923684210526315,215.657894736842,-5.6892105263158,1.47131578947369
"145","2014-2","Staten Island",0.670454545454545,3.15909090909091,190.909090909091,-4.50227272727273,3.18409090909091
"146","2014-3","Bronx",2.00239160023334,0.102663814894032,23.105191522458,-2.32360489986387,6.56430099163914
"147","2014-3","Brooklyn",2.35894831192111,0.0645354048401577,14.1918135643857,-1.97965342097399,7.42282641171197
"148","2014-3","Manhattan",1.80818643561397,0.0358530026889748,27.9384523453834,-2.75085150881387,6.18338810875411
"149","2014-3","Queens",2.03019961365101,0.0907920154539617,30.4249839021249,-2.39735994848678,6.79954925949776
"150","2014-3","Staten Island",2.40987951807229,0.0506024096385545,14.5060240963856,-2.51638554216868,6.8710843373494
"151","2014-4","Bronx",5.87174399999988,0,0,5.97536,15.620144
"152","2014-4","Brooklyn",5.62881820096902,0,0,5.96382978723404,15.3999368021909
"153","2014-4","Manhattan",4.50282500000003,0,0,6.42202499999998,16.16575
"154","2014-4","Queens",8.0679949399114,0,0,6.01783681214421,15.5511701454775
"155","2014-4","Staten Island",2.60601156069365,0,0,5.8164161849711,15.1180346820809
"156","2014-5","Bronx",3.86738920069667,0,0,12.7291852138572,21.9634797754983
"157","2014-5","Brooklyn",4.63491379310346,0,0,13.0099469496021,22.0759283819629
"158","2014-5","Manhattan",5.48202026806148,0,0,12.9260542661,21.8138934292252
"159","2014-5","Queens",4.91295843520782,0,0,12.9491442542787,21.8362673186634
"160","2014-5","Staten Island",3.99699863574351,0,0,12.5594815825375,22.1354706684857
"161","2014-6","Bronx",4.04911154985192,0,0,18.3553307008884,26.8639190523198
"162","2014-6","Brooklyn",3.58520611702128,0,0,18.6741356382979,26.9131981382979
"163","2014-6","Manhattan",4.7015142802378,0,0,18.6371094498754,26.7826720337359
"164","2014-6","Queens",4.89900990099008,0,0,18.824504950495,26.9987004950495
"165","2014-6","Staten Island",2.86212765957447,0,0,19.156170212766,27.3217021276596
"166","2014-7","Bronx",3.59746233148296,0,0,20.742327517843,29.0284694686756
"167","2014-7","Brooklyn",6.50770003347838,0,0,20.9147974556411,29.4978239035822
"168","2014-7","Manhattan",6.17945368171024,0,0,20.4373317498021,29.0112826603325
"169","2014-7","Queens",7.38282208588956,0,0,20.8241564417178,29.5456288343558
"170","2014-7","Staten Island",7.88512931034482,0,0,20.7129310344828,29.5051724137931
"171","2014-8","Bronx",1.50845314394588,0,0,19.4075697211156,28.1856400485017
"172","2014-8","Brooklyn",1.44440389294399,0,0,19.4186131386861,28.415896188159
"173","2014-8","Manhattan",1.5207112281857,0,0,19.0498189002305,28.521205136648
"174","2014-8","Queens",1.50407450523865,0,0,19.2557625145518,28.1928987194412
"175","2014-8","Staten Island",1.27162891046386,0,0,18.3903991370011,27.7527508090615
"176","2014-9","Bronx",0.47543027748507,0,0,17.399789251844,25.2629785739375
"177","2014-9","Brooklyn",0.70171557562077,0,0,17.0711963882619,25.0112415349887
"178","2014-9","Manhattan",0.482773631840798,0,0,18.1287313432836,26.4591417910448
"179","2014-9","Queens",0.580237877401645,0,0,16.4493138151876,24.5972552607502
"180","2014-9","Staten Island",0.867677514792903,0,0,17.0478550295858,24.9661982248521
"181","2015-1","Bronx",1.84050525120635,13.7235310814645,25.0922509225107,-4.89710474027816,2.17922225376097
"182","2015-1","Brooklyn",0.93037857802401,3.70544783010159,4.33979686057252,-4.67072945521699,2.77433056325024
"183","2015-1","Manhattan",1.29784283513098,10.9645608628659,10.1232665639444,-4.27569337442219,3.41926040061634
"184","2015-1","Queens",0.976938637896149,2.11058664868513,2.60957518543489,-4.45630478759271,2.14565070802429
"185","2015-1","Staten Island",1.36416666666667,5.78333333333333,2.5,-3.1075,2.37
"186","2015-10","Bronx",3.26057520543047,0,0,11.4,19.4502500893176
"187","2015-10","Brooklyn",3.27768860353132,0,0,11.3554842161584,19.7431246655966
"188","2015-10","Manhattan",3.76363343013878,0,0,10.7501452081316,18.8463697967086
"189","2015-10","Queens",3.59413145539906,0,0,11.0350938967136,19.3944835680751
"190","2015-10","Staten Island",5.4303738317757,0,0,10.4971962616822,18.2742990654206
"191","2015-11","Bronx",2.93298404382006,0,0,8.54860681114548,15.3250773993808
"192","2015-11","Brooklyn",2.16178861788617,0,0,8.42533875338752,15.2912601626016
"193","2015-11","Manhattan",1.60817195972118,0,0,8.77602633617348,15.7186289697909
"194","2015-11","Queens",3.0532679738562,0,0,8.00904139433551,14.6915032679739
"195","2015-11","Staten Island",1.00740740740741,0,0,8.86604938271605,15.4604938271605
"196","2015-12","Bronx",5.52235609103077,0,0,7.48279785809906,13.4924029451138
"197","2015-12","Brooklyn",5.52709179528837,0,0,7.20194963444355,13.3949634443542
"198","2015-12","Manhattan",6.3598277347114,0,0,7.43664082687342,13.4881309216193
"199","2015-12","Queens",5.58486140724946,0,0,7.76595593461266,14.2366737739872
"200","2015-12","Staten Island",4.39940476190476,0,0,9.08214285714286,14.5083333333333
"201","2015-2","Bronx",0.15621285791464,0.457590491626175,235.353862776878,-7.89168017287952,1.61139924365206
"202","2015-2","Brooklyn",0.043265306122449,0.342857142857143,245.938775510204,-8.32387755102041,1.49897959183674
"203","2015-2","Manhattan",0.502010265183921,3.58254918733959,231.88622754491,-7.26727972626174,1.30363558597092
"204","2015-2","Queens",0.0838521400778207,0.323929961089489,227.694552529183,-7.71284046692607,1.54620622568093
"205","2015-2","Staten Island",0,0,268.139534883721,-7.10232558139535,1.24883720930233
"206","2015-3","Bronx",3.39289081651895,9.549688855365,78.2915330944723,0.365792947388244,8.43349047708844
"207","2015-3","Brooklyn",3.38740340030911,8.29675425038636,85.3245749613602,0.802318392581141,8.63122102009274
